               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024522,            0.019223,           0.0061086,             0.66727,             0.55347,             0.57126,             0.40685,                 nan,                 nan,                 nan,            0.006337,            0.006337,            0.006337
                  39,            0.024314,            0.019984,           0.0070856,             0.66648,             0.59577,             0.61077,             0.45209,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                  40,            0.024239,            0.019966,           0.0065975,             0.63335,             0.52615,             0.55634,             0.40882,                 nan,                 nan,                 nan,            0.006139,            0.006139,            0.006139
                  41,            0.023186,            0.019424,           0.0065624,             0.66714,             0.55869,             0.59385,             0.41275,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  42,              0.0224,            0.018101,           0.0053765,             0.70407,             0.55328,             0.60165,             0.43254,                 nan,                 nan,                 nan,            0.005941,            0.005941,            0.005941
                  43,            0.022558,            0.017038,           0.0053869,             0.70468,             0.55678,             0.62244,             0.44587,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                  44,            0.023762,            0.019552,           0.0051294,             0.70764,             0.57479,             0.60871,             0.43094,                 nan,                 nan,                 nan,            0.005743,            0.005743,            0.005743
                  45,             0.02217,              0.0193,           0.0054111,             0.73554,              0.5578,             0.60268,             0.43428,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  46,            0.020917,            0.018686,           0.0058537,             0.66855,             0.58825,             0.59973,             0.44317,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  47,            0.021888,             0.01785,            0.006058,             0.64893,             0.58497,             0.59253,             0.42519,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                  48,            0.021996,            0.018079,            0.004677,             0.66936,             0.59454,             0.62405,             0.44633,                 nan,                 nan,                 nan,            0.005347,            0.005347,            0.005347
                  49,            0.021615,            0.017584,           0.0046496,             0.62731,              0.5982,             0.57888,              0.4233,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                  50,            0.021103,            0.017759,            0.005076,              0.7389,              0.5361,             0.58958,             0.43482,                 nan,                 nan,                 nan,            0.005149,            0.005149,            0.005149
                  51,            0.021174,            0.017055,           0.0047983,             0.69394,             0.54847,             0.59342,              0.4351,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  52,            0.020843,            0.017764,           0.0054299,             0.64047,             0.63012,              0.6063,               0.451,                 nan,                 nan,                 nan,            0.004951,            0.004951,            0.004951
                  53,            0.020983,            0.017917,           0.0048156,             0.75994,             0.53657,             0.62118,             0.47352,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                  54,            0.019634,            0.017115,           0.0047345,             0.63742,              0.6141,             0.60885,             0.46796,                 nan,                 nan,                 nan,            0.004753,            0.004753,            0.004753
                  55,             0.01932,            0.017285,           0.0045025,             0.72599,             0.52201,             0.59605,             0.45163,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                  56,            0.018993,            0.017068,           0.0048537,             0.64294,             0.61165,             0.59369,             0.43126,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
